keywords,label,word_label_count,freq
Indonesia,loc,125.0,125
Ingenuity,com,107.0,133
Inmarsat,com,1080.0,1082
Intelsat,com,1745.0,1758
International Astronautical Congress,org,54.0,128
International Space Station,satellite,66.0,1599
Internet of Things,term,216.0,216
Intuitive Machines,term,20.0,220
IoT,term,293.0,293
Iran,loc,130.0,130
Iridium,com,760.0,841
Iridium Next,satellite,219.0,262
Isar Aerospace,com,102.0,102
Israel,loc,178.0,178
Israeli,loc,189.0,189
Italian,loc,245.0,247
Italy,loc,288.0,288
JAXA,org,280.0,348
JPL,org,296.0,309
JPSS,satellite,88.0,119
JWST,satellite,342.0,459
James Webb Space Telescope,satellite,197.0,243
Japan,loc,701.0,701
Japanese,loc,657.0,657
Jet Propulsion Laboratory,org,146.0,148
Jiuquan,loc,132.0,177
Johnson Space Center,org,104.0,104
Joint Chiefs of Staff,org,114.0,114
Jupiter,loc,196.0,216
KSAT,com,126.0,133
KSC,org,114.0,161
Ka-band,term,418.0,429
Kazakhstan,loc,131.0,131
Kennedy Space Center,org,364.0,534
Kepler,com,257.0,341
Ku-band,term,268.0,278
Kuaizhou-1A,satellite,100.0,102
Kymeta,com,202.0,203
L-band,term,164.0,168
L3Harris,com,326.0,326
LEO,term,940.0,1796
LSA,org,57.0,154
Landspace,com,176.0,234
LauncherOne,satellite,204.0,373
LeoLabs,com,306.0,306
LeoSat,com,213.0,229
Ligado,com,162.0,178
Lightspeed,term,11.0,110
Lockheed,com,254.0,254
Lockheed Martin,com,1538.0,1538
Loft Orbital,com,143.0,144
Long March 3B,satellite,36.0,109
Long March 5,rocket,132.0,202
Long March 5B,satellite,76.0,194
Los Angeles,loc,185.0,189
Luxembourg,loc,352.0,352
Lynk,com,112.0,118
MDA,org,456.0,482
MEO,term,119.0,184
MHI,com,49.0,103
Made In Space,com,87.0,113
Mars,loc,2505.0,2702
Mars 2020,term,174.0,225
Martian,loc,206.0,214
Maxar,com,1097.0,1097
Maxar Technologies,com,371.0,371
Microsoft,com,214.0,214
